Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Test Case,DEPI-249,10497,View Order Details,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Medium,To Do,,27/Apr/25 11:42 PM,27/Apr/25 11:42 PM,
Test Case,DEPI-248,10495,View a list of past orders,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Medium,To Do,,27/Apr/25 11:37 PM,27/Apr/25 11:37 PM,
Test Case,DEPI-238,10462,Swag Labs - View product list - check the product details ,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Medium,To Do,,15/Apr/25 9:00 PM,26/Apr/25 1:09 PM,
Test Case,DEPI-236,10430,Swag Labs - G1-Checking add to cart functionality using problem_user choosing Sauce Labs Bolt T-Shirt ,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,High,To Do,,14/Apr/25 8:00 PM,26/Apr/25 1:12 PM,
Test Case,DEPI-235,10429,Swag Labs - G1-Checking add to cart functionality using performance_glitch_user,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Highest,To Do,,14/Apr/25 7:47 PM,26/Apr/25 1:13 PM,
Test Case,DEPI-215,10372,Swag Labs - G1-Checking add to cart functionality using problem_user,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Highest,To Do,,12/Apr/25 1:54 AM,26/Apr/25 1:07 PM,
Test Case,DEPI-214,10371,Swag Labs - G1-Checking add to cart functionality using locked_out_user,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,High,To Do,,12/Apr/25 1:48 AM,26/Apr/25 1:14 PM,
Test Case,DEPI-205,10362,Logout button functionality,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,High,Done,Done,11/Apr/25 11:29 PM,27/Apr/25 11:45 PM,
Test Case,DEPI-203,10358,Test UI responsiveness on different screen sizes,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,High,Done,Done,11/Apr/25 10:58 PM,27/Apr/25 11:45 PM,
Test Case,DEPI-202,10357,Test UI compatibility on different browsers,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 10:19 PM,27/Apr/25 11:44 PM,
Test Case,DEPI-188,10343,Login with both fields blank,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 9:08 PM,27/Apr/25 11:44 PM,
Test Case,DEPI-187,10342,Login with blank password,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 9:05 PM,27/Apr/25 11:44 PM,
Test Case,DEPI-179,10334,Login with blank username,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 7:44 PM,27/Apr/25 11:44 PM,
Test Case,DEPI-178,10333,Login with invalid username	,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 7:36 PM,27/Apr/25 11:46 PM,
Test Case,DEPI-176,10331,Login with invalid password (various  users),MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 7:24 PM,27/Apr/25 11:43 PM,
Test Case,DEPI-170,10325,Login with valid credentials (various  users),MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 6:07 PM,27/Apr/25 11:43 PM,
Test Case,DEPI-114,10269,Swag Labs - Remove product from cart from product details page,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,High,Done,Done,10/Apr/25 9:16 PM,27/Apr/25 4:12 PM,
Test Case,DEPI-113,10268,Swag Labs - Remove product from cart from cart page,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,High,Done,Done,10/Apr/25 8:58 PM,27/Apr/25 4:12 PM,
Test Case,DEPI-112,10267,Swag Labs - Remove product from cart from products page,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,High,Done,Done,10/Apr/25 8:52 PM,27/Apr/25 4:12 PM,
Test Case,DEPI-82,10156,Swag Labs - Availability of Sorting options.,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Medium,To Do,,09/Apr/25 1:20 PM,26/Apr/25 1:09 PM,
Test Case,DEPI-80,10154,Swag Labs - View product list - check the product list ,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Medium,To Do,,09/Apr/25 1:07 PM,26/Apr/25 1:08 PM,
